/Users/jie/projects/PanelSeg/data/0/1471-2474-11-97-3.jpg,7,8,281,374,panel
/Users/jie/projects/PanelSeg/data/0/1471-2474-11-97-3.jpg,300,10,592,373,panel
/Users/jie/projects/PanelSeg/data/7/PMC2762167_IJO-43-253-g001.jpg,0,0,207,227,panel
/Users/jie/projects/PanelSeg/data/7/PMC2762167_IJO-43-253-g001.jpg,208,0,405,227,panel
/Users/jie/projects/PanelSeg/data/7/PMC2762167_IJO-43-253-g001.jpg,405,0,605,227,panel
/Users/jie/projects/PanelSeg/data/9/PMC3214561_JOACP-27-527-g001.jpg,25,11,765,144,panel
/Users/jie/projects/PanelSeg/data/9/PMC3214561_JOACP-27-527-g001.jpg,25,166,765,271,panel
/Users/jie/projects/PanelSeg/data/0/1479-5876-4-20-3.jpg,2,4,595,478,panel
/Users/jie/projects/PanelSeg/data/0/1479-5876-4-20-3.jpg,2,490,595,964,panel
/Users/jie/projects/PanelSeg/data/0/1479-5876-4-20-3.jpg,4,974,595,1445,panel
/Users/jie/projects/PanelSeg/data/4/PMC3861310_pone.0081122.g002.jpg,0,0,220,408,panel
/Users/jie/projects/PanelSeg/data/4/PMC3861310_pone.0081122.g002.jpg,220,0,639,408,panel
/Users/jie/projects/PanelSeg/data/4/PMC4264301_ASL-33-146-g006.jpg,0,2,788,584,panel
/Users/jie/projects/PanelSeg/data/8/PMC4484293_usg-15003-f14.jpg,0,5,660,530,panel
/Users/jie/projects/PanelSeg/data/4/PMC3552567_2001-1326-1-6-1.jpg,0,0,600,207,panel
/Users/jie/projects/PanelSeg/data/10/PMC4195470_dku22802.jpg,2,0,254,255,panel
/Users/jie/projects/PanelSeg/data/10/PMC4195470_dku22802.jpg,256,0,515,253,panel
/Users/jie/projects/PanelSeg/data/10/PMC4195470_dku22802.jpg,520,1,776,254,panel
/Users/jie/projects/PanelSeg/data/4/PMC3886587_MI2013-329740.008.jpg,0,1,565,358,panel
/Users/jie/projects/PanelSeg/data/4/PMC3886587_MI2013-329740.008.jpg,1,370,565,842,panel
/Users/jie/projects/PanelSeg/data/4/PMC3886587_MI2013-329740.008.jpg,2,849,563,1186,panel
/Users/jie/projects/PanelSeg/data/7/PMC4275958_gr1.jpg,0,0,190,311,panel
/Users/jie/projects/PanelSeg/data/7/PMC4275958_gr1.jpg,199,52,503,256,panel
/Users/jie/projects/PanelSeg/data/10/PMC3531520_ppat.1003099.g005.jpg,3,3,145,96,panel
/Users/jie/projects/PanelSeg/data/10/PMC3531520_ppat.1003099.g005.jpg,147,3,289,96,panel
